method,n_seeds,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,neurite_macro_f1_mean,neurite_macro_f1_sd,neurite_macro_f1_min,neurite_macro_f1_max,axon_f1_mean,axon_f1_sd,axon_f1_min,axon_f1_max,basal_f1_mean,basal_f1_sd,basal_f1_min,basal_f1_max,apical_f1_mean,apical_f1_sd,apical_f1_min,apical_f1_max,per_cell_f1_mean_mean,per_cell_f1_mean_sd,per_cell_f1_mean_min,per_cell_f1_mean_max,per_cell_f1_p10_mean,per_cell_f1_p10_sd,per_cell_f1_p10_min,per_cell_f1_p10_max,per_cell_f1_p25_mean,per_cell_f1_p25_sd,per_cell_f1_p25_min,per_cell_f1_p25_max,pyramidal_neurite_f1_mean,pyramidal_neurite_f1_sd,pyramidal_neurite_f1_min,pyramidal_neurite_f1_max,pyramidal_apical_f1_mean,pyramidal_apical_f1_sd,pyramidal_apical_f1_min,pyramidal_apical_f1_max,interneuron_neurite_f1_mean,interneuron_neurite_f1_sd,interneuron_neurite_f1_min,interneuron_neurite_f1_max
lmeasure_rf,3,0.9793333333333334,0.0015567059238447464,0.9777,0.9808,0.9476333333333334,0.005870547958524287,0.9439,0.9544,0.9914999999999999,0.000984885780179626,0.9904,0.9923,0.9388666666666667,0.006932772413207697,0.9314,0.9451,0.9125333333333333,0.012691072978016221,0.9013,0.9263,0.9057339537319308,0.009274669427156119,0.8952464612822648,0.9128562285223368,0.5397200000000001,0.05478084701791308,0.4808400000000001,0.58918,1.0,0.0,1.0,1.0,0.9527666666666667,0.004499259198282918,0.9487,0.9576,0.9175,0.009226050075736679,0.9087,0.9271,0.9567,0.008007496487667026,0.9475,0.9621
neurom_rf,3,0.93,0.005011985634456673,0.9248,0.9348,0.8223333333333334,0.00510326692750173,0.8184,0.8281,0.9668333333333333,0.00290918086982116,0.9638,0.9696,0.8272666666666667,0.0031501322723551223,0.8241,0.8304,0.6729666666666666,0.012595369519523171,0.6642,0.6874,0.847197754914245,0.0039650069250918895,0.8427482514571191,0.8503567010309279,0.54211,0.0016655629678880325,0.5402,0.54326,0.7651916666666666,0.009601963774839701,0.7553,0.774475,0.8342666666666667,0.005783021125098305,0.8295,0.8407,0.6765666666666666,0.013732564703409673,0.6679,0.6924,0.8691333333333334,0.0028728615235220096,0.867,0.8724
sholl_mlp,3,0.9712999999999999,0.001571623364550164,0.9695,0.9724,0.9235333333333333,0.001778576209593914,0.9216,0.9251,0.9884,0.0019157244060668197,0.9862,0.9897,0.9201,0.009153687781435375,0.9099,0.9276,0.8620666666666666,0.014178269758095772,0.8474,0.8757,0.867325356817411,0.009412225916397524,0.8571564945878435,0.8757317869415808,0.41639000000000004,0.04466576205551632,0.37950000000000006,0.4660500000000001,0.9013916666666667,0.08970632061529077,0.79785,0.955725,0.9281666666666667,0.008003332639178098,0.9203,0.9363,0.8667666666666666,0.017208815570321334,0.8481,0.882,0.9451,0.01780337046741432,0.9247,0.9575
sholl_rf,3,0.9778333333333333,0.0012858201014657124,0.9769,0.9793,0.9405,0.0027730849247724243,0.9388,0.9437,0.9915333333333334,0.0008326663997864236,0.9906,0.9922,0.9348333333333333,0.005612783029240782,0.9288,0.9399,0.8951333333333333,0.005529315810598368,0.8888,0.899,0.8915248948648333,0.0074144302478639495,0.884021898417985,0.8988474656357389,0.45995,0.034700448123907594,0.42561,0.49500000000000005,1.0,0.0,1.0,1.0,0.9438,0.005068530358989641,0.9381,0.9478,0.9000666666666666,0.009130899919139067,0.8896,0.9064,0.9577666666666667,0.00741911944460612,0.9492,0.9621
v12_branch3_gt_celltype,3,0.9818666666666666,0.0025423086620891227,0.9791,0.9841,0.9513333333333334,0.006395571384429463,0.9443,0.9568,0.9923000000000001,0.00121243556529825,0.9912,0.9936,0.9522333333333334,0.007572538103788818,0.944,0.9589,0.9094333333333333,0.012611634839834752,0.8979,0.9229,0.9401714982207835,0.009152835707918654,0.9296103663613656,0.9458003052769298,0.7358566666666667,0.07789001882997161,0.64802,0.79652,1.0,0.0,1.0,1.0,0.9521999999999999,0.006612110101926626,0.945,0.958,0.9143666666666667,0.013283197406247225,0.9052,0.9296,0.9726,0.0013892443989450191,0.971,0.9735
